,Trawl,,,,Non-trawl,,,
Row Labels,Female,Male,Total,,Female,Male,Unsexed,Total
1976,118,120,238,,,,,
1980,47,52,99,,,,,
1981,171,223,394,,,,,
1982,121,174,295,,,,,
1983,352,442,794,,44,56,,100
1984,120,178,298,,41,58,,99
1986,176,145,321,,336,189,,525
1987,221,180,401,,300,319,1,620
1988,51,48,99,,233,183,,416
1989,144,80,224,,153,144,,297
1990,103,121,224,,74,51,,125
1991,144,157,301,,217,208,25,450
1992,99,101,200,,154,119,2,275
1993,54,71,125,,175,147,1,323
1994,20,28,48,,133,117,,250
1995,11,37,48,,112,112,,224
1997,,,,,,,,
1998,,,,,,,,
2000,,,,,,,,
2001,,,,,,,,
2002,,,,,,,,
2003,,,,,,,,
2004,,,,,,,,
2005,,,,,,,,
2006,13,6,19,,,,,
2021,,1,1,,,,,
2022,,,,,,,,
